keyword,title,publication
smartphone_latency,Utilization of two microphones for real-time low-latency audio smartphone apps,2018 IEEE International Conference on Consumer Electronics (ICCE)
smartphone_latency,Low-latency smartphone app for real-time noise reduction of noisy speech signals,2017 IEEE 26th International Symposium on Industrial Electronics (ISIE)
smartphone_latency,Active panoramic VR video play using low latency step detection on smartphone,2017 IEEE International Conference on Consumer Electronics (ICCE)
smartphone_latency,Measuring Saccade Latency Using Smartphone Cameras,IEEE Journal of Biomedical and Health Informatics
smartphone_latency,An Efficient and Low-Latency Deep Inertial Odometer for Smartphone Positioning,IEEE Sensors Journal
smartphone_latency,SmartSplit: Latency-Energy-Memory Optimisation for CNN Splitting on Smartphone Environment,2022 14th International Conference on COMmunication Systems & NETworkS (COMSNETS)
smartphone_latency,A Framework to Measure Reliance of Acoustic Latency on Smartphone Status,2018 IEEE International Conference on Pervasive Computing and Communications Workshops (PerCom Workshops)
