keyword,title,publication
phone_responsiveness,Emotional reactivity and regulation in anxious and nonanxious youth: a cell-phone ecological momentary assessment study,"Journal of Child Psychology and PsychiatryVolume 53, Issue 2"
phone_responsiveness,Reactive Oxygen Species Formation and Apoptosis in Human Peripheral Blood Mononuclear Cell Induced by 900 MHz Mobile Phone Radiation,"Oxidative Medicine and Cellular LongevityVolume 2012, Issue 1"
phone_responsiveness,"A randomized trial to evaluate the use of text messaging, letter, and telephone call reminders to improve return of blood donors with reactive serologic tests","TransfusionVolume 57, Issue 1"
