keyword,title,publication
smartphone_battery,Highlight,"Geophysical Research LettersVolume 40, Issue 15"
smartphone_battery,"A remote smartphone cognitive testing battery for frontotemporal dementia: Completion rate, reliability, and validity","Alzheimer's & DementiaVolume 17, Issue S6"
smartphone_battery,Baseline Reliability and Six-Month Stability of a Remotely Administered Battery of Smartphone Cognitive Tests,"Alzheimer's & DementiaVolume 18, Issue S7"
smartphone_battery,Passively monitored smartphone battery percentage relates to disease severity in frontotemporal dementia: A proof-of-concept study,"Alzheimer's & DementiaVolume 19, Issue S18"
smartphone_battery,Unlocking ion Storage Chemistry in Aqueous Batteries via Operando Smartphone Multispectral Techniques,"Advanced Energy MaterialsVolume 13, Issue 48"
smartphone_battery,PowerPrint: Identifying Smartphones through Power Consumption of the Battery,"Security and Communication NetworksVolume 2020, Issue 1"
