keyword,title,publication
phone_battery,A system context-aware approach for battery lifetime prediction in smart phones,SAC '11: Proceedings of the 2011 ACM Symposium on Applied Computing
phone_battery,"Sandra helps you learn: the more you walk, the more battery your phone drains",UbiComp '15: Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing
phone_battery,Understanding human-battery interaction on mobile phones,MobileHCI '07: Proceedings of the 9th international conference on Human computer interaction with mobile devices and services
