keyword,title,publication
smartphone_storage,Storage-aware smartphone energy savings,UbiComp '13: Proceedings of the 2013 ACM international joint conference on Pervasive and ubiquitous computing
smartphone_storage,Evaluating impact of storage on smartphone energy efficiency,UbiComp '13 Adjunct: Proceedings of the 2013 ACM conference on Pervasive and ubiquitous computing adjunct publication
smartphone_storage,Optimizing storage performance of Android smartphone,ICUIMC '13: Proceedings of the 7th International Conference on Ubiquitous Information Management and Communication
smartphone_storage,A tiny-capacitor-backed non-volatile buffer to reduce storage writes in smartphones,CODES '15: Proceedings of the 10th International Conference on Hardware/Software Codesign and System Synthesis
smartphone_storage,A small non-volatile write buffer to reduce storage writes in smartphones,"DATE '15: Proceedings of the 2015 Design, Automation & Test in Europe Conference & Exhibition"
smartphone_storage,Revisiting storage for smartphones,"ACM Transactions on Storage (TOS), Volume 8, Issue 4"
smartphone_storage,Revisiting storage for smartphones,FAST'12: Proceedings of the 10th USENIX conference on File and Storage Technologies
smartphone_storage,Video: study of storage impact on smartphone application delay,"MobiSys '14: Proceedings of the 12th annual international conference on Mobile systems, applications, and services"
smartphone_storage,GroFin: enhancing in-store grocery shopping with a context-aware smartphone app,MUM '19: Proceedings of the 18th International Conference on Mobile and Ubiquitous Multimedia
