keyword,title,publication
smartphone_energy,Smartphone-assisted fluorescence-based detection of sunrise-type smart amplification process and a 3D-printed ultraviolet light-emitting diode device for the diagnosis of tuberculosis,Biosensors and Bioelectronics
smartphone_energy,A smartphone-based centrifugal mHealth platform implementing hollow daisy-shaped quick response chip for hematocrit measurement,Talanta
smartphone_energy,A smartphone-based ratiometric fluoroprobe based on blue-red dual-emission signals of thiochrome and copper nanoclusters for sensitive assay of metam-sodium in cucumbers,Talanta
smartphone_energy,Molecular architecture of a novel indoline-fused chromenylium-cyanine probe carrying methionine biomolecule for ultrasensitive analyzing Hg2+ ion in real samples,Journal of Environmental Chemical Engineering
smartphone_energy,Does the circularity end justify the means? A life cycle assessment of preparing waste electrical and electronic equipment for reuse,Sustainable Production and Consumption
smartphone_energy,Precise and real-time detection of miRNA-141 realized on double-drive strategy triggered by sandwich-graphdiyne and energy conversion device,Sensors and Actuators B: Chemical
smartphone_energy,Fabrication and DFT study of IFE based nano-sensor for fluorometric detection of Norepinephrine,Optics & Laser Technology
smartphone_energy,Batteryless NFC dosimeter tag for ionizing radiation based on commercial MOSFET,Sensors and Actuators A: Physical
smartphone_energy,Fluorescence immunoassay based on magnetic separation and ZnCdSe/ZnS quantum dots as a signal marker for intelligent detection of sesame allergen in foods,Talanta
smartphone_energy,Ratiometric upconversion-luminescence in-situ sampling aptasensing platform integrated with smartphone-based device for visual detection of 17β-estradiol,Sensors and Actuators B: Chemical
smartphone_energy,Low-cost plastic optical fiber integrated with smartphone for human physiological monitoring,Optical Fiber Technology
smartphone_energy,"Smartphone-based miniaturized, green and rapid methods for the colorimetric determination of sugar in soft drinks",Green Analytical Chemistry
smartphone_energy,An ultra-sensitive colorimetric sensor based on smartphone for pyrophosphate determination,Sensors and Actuators B: Chemical
smartphone_energy,Upconversion-based hydrogel kit with Python-assisted analysis platform for sample-to-result detection of organophosphorus pesticide,Journal of Colloid and Interface Science
smartphone_energy,Energy and latency-balanced osmotic-offloading algorithm for healthcare systems,Internet of Things
smartphone_energy,Smartphone application for ancient mortars identification developed by a multi-analytical approach,Journal of Archaeological Science: Reports
smartphone_energy,All-biobased multilayer transparent wood infiltrated with cellulose and chitosan nanofibers: Improving anisotropic mechanical and ultraviolet shielding properties,Industrial Crops and Products
smartphone_energy,Application of carbon quantum dots as fluorescent probes in the detection of antibiotics and heavy metals,Food Chemistry
smartphone_energy,Smartphone conducted DNA portable quantitative detection platform based on photonic crystals chip and magnetic nanoparticles,Talanta
smartphone_energy,A portable paper-based aptasensor for simultaneous visual detection of two mycotoxins in corn flour using dual-color upconversion nanoparticles and Cu-TCPP nanosheets,Food Chemistry
smartphone_energy,Field experiment of smartphone-based energy efficiency services for households: Impact of advice through push notifications,Energy and Buildings
smartphone_energy,"Samarium, nitrogen co-Doped carbon dots for detection of Epinephrine: Theoretical and experimental",Journal of Industrial and Engineering Chemistry
smartphone_energy,"A new asset tracking architecture integrating RFID, Bluetooth Low Energy tags and ad hoc smartphone applications",Pervasive and Mobile Computing
smartphone_energy,Searching for ultra-high energy cosmic rays with smartphones,Astroparticle Physics
smartphone_energy,Preparation of persistently luminescent polyacrylic acid-based nanocomposite ink for secure encoding,Journal of Photochemistry and Photobiology A: Chemistry
smartphone_energy,Optimal Feature Set for Smartphone-based Activity Recognition,Procedia Computer Science
smartphone_energy,A battery-free wireless body area network towards state perception under all-weather conditions,Nano Energy
smartphone_energy,Smartphone-based data collection from wireless sensor networks in an urban environment,Journal of Network and Computer Applications
smartphone_energy,Novel biosensor platform for glucose monitoring via smartphone based on battery-less NFC potentiostat,Talanta
smartphone_energy,Smartphone-assisted fluorimetric and colorimetric dual-recognition sensing platform based on nitrogen-doped carbon dots for visual monitoring of acid red 18 in food,Dyes and Pigments
smartphone_energy,Evaluating electrocatalytic performance in a simple way using the paper microzones method,Chinese Journal of Analytical Chemistry
smartphone_energy,Real-time activity monitoring with a wristband and a smartphone,Information Fusion
smartphone_energy,A smartphone-based tunable tyrosinase functional mimic modulated portable amperometric sensor for the rapid and real-time monitoring of catechol,Chemical Engineering Journal
smartphone_energy,A smartphone perspective on computation offloading—A survey,Computer Communications
smartphone_energy,Energy efficient streaming for smartphone by video adaptation and backlight control,Computer Networks
smartphone_energy,An Adaptive Location Detection scheme for energy-efficiency of smartphones,Pervasive and Mobile Computing
smartphone_energy,Evaluating the Validity of the PortionSize Smartphone Application for Estimating Dietary Intake in Free-Living Conditions: A Pilot Study,Journal of Nutrition Education and Behavior
smartphone_energy,A coffee-ring effect-based paper sensor chip for the determination of beta-lactoglobulin in foods via a smartphone,Sensors and Actuators B: Chemical
smartphone_energy,Smartphone-based parking guidance algorithm and implementation,Journal of Intelligent Transportation Systems
smartphone_energy,A portable and smartphone-operated photoelectrochemical reader for point-of-care biosensing,Electrochimica Acta
smartphone_energy,A handheld multifunctional smartphone platform integrated with 3D printing portable device: On-site evaluation for glutathione and azodicarbonamide with machine learning,Journal of Hazardous Materials
smartphone_energy,Efficient smart-phone luminescent sensing detection based on new multifunctional Cd(II) luminescent coordination polymers,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy
