keyword,title,publication
mobile_battery,Fuzzy logic control for PV-powered Lithium-Ion battery management,IFAC-PapersOnLine
mobile_battery,Privacy-preserving edge federated learning for intelligent mobile-health systems,Future Generation Computer Systems
mobile_battery,Dynamic computation scheduling for hybrid energy mobile edge computing networks,Journal of Systems Architecture
mobile_battery,Applications – Portable Applications | Battery Based,Encyclopedia of Electrochemical Power Sources (Second Edition)
mobile_battery,Lithium-ion battery model parametrisation: BatPar an all-in-one toolkit for equivalent circuit models,Journal of Energy Storage
mobile_battery,Adaptive hierarchical energy management strategy for fuel cell mobile robot hybrid power system based on working condition recognition,Renewable Energy
mobile_battery,Opportunities and challenges in cathode development for non-lithium-ion batteries,eScience
mobile_battery,Energy harnessing and storage from surface switching with a ferroelectric electrolyte,Chemical Communications
mobile_battery,Battery Types – Sodium Batteries – High-Temperature Sodium Batteries | Sodium–Nickel Chloride,Encyclopedia of Electrochemical Power Sources (Second Edition)
mobile_battery,Performance analysis of diesel particulate filter thermoelectric conversion mobile energy storage system under engine conditions of low-speed and light-load,Energy
mobile_battery,Enhancing the efficiency of charging & parking processes for Autonomous Mobile Robot fleets: A simulative evaluation,Journal of Power Sources
mobile_battery,Composite energy acquisition of thermal and kinetic energy from cetaceans based on micro thermoelectric generator and triboelectric nanogenerator,Sustainable Energy Technologies and Assessments
mobile_battery,Enhancing ionic conductivity and controlling lithium dendrite growth via ferroelectric ceramic Bi4Ti3O12,Journal of the Taiwan Institute of Chemical Engineers
mobile_battery,Energy-optimization design and management strategy for hybrid electric non-road mobile machinery: A case study of snowblower,Energy
mobile_battery,Mobile phone ingestion requiring endoscopic retrieval,The American Journal of Emergency Medicine
mobile_battery,Customizable 3D-printed decoupled structural lithium-ion batteries with stable cyclability and mechanical robustness,Composites Science and Technology
mobile_battery,Multi-agent reinforcement learning for cost-aware collaborative task execution in energy-harvesting D2D networks,Computer Networks
mobile_battery,Electric buses as an air pollution and meteorological observation network: Methodology and preliminary results,Science of The Total Environment
mobile_battery,Effect of filter material and porosity on the energy storage capacity characteristics of diesel particulate filter thermoelectric conversion mobile energy storage system,Energy
mobile_battery,A decision model for OTT service users to adopt wireless D2D caching networks: Exploring the Korean case,Telecommunications Policy
mobile_battery,An approach for offloading in mobile cloud computing to optimize power consumption and processing time,Sustainable Computing: Informatics and Systems
mobile_battery,The parallel mobile charging service for free-floating shared electric vehicle clusters,Transportation Research Part E: Logistics and Transportation Review
mobile_battery,Mobile energy storage technologies for boosting carbon neutrality,The Innovation
mobile_battery,Motrol: A hardware-software device for batch benchmarking and profiling of in-lab mobile device clusters,HardwareX
mobile_battery,An accurate state-of-charge estimation of lithium-ion batteries based on improved particle swarm optimization-adaptive square root cubature kalman filter,Journal of Power Sources
mobile_battery,Digital Twin of a battery-based EV charging station to support services,Procedia CIRP
mobile_battery,Energy-efficient mobile edge computing assisted by layered UAVs based on convex optimization,Physical Communication
