keyword,title,publication
smartphone_resource,"Usability of a smartphone-compatible, confocal micro-endoscope for cervical cancer screening in resource-limited settings",BMC Women's Health
smartphone_resource,Dentist creates free smartphone resource for DCTs and junior staff,None
